,concurrent_futures,joblib,multiprocessing,CUDA
AFIRO.MPS,1.4037390000000003,1.0002089999999741,1.3723759999999998,2546.2486329999906
SC205-2R-8.MPS,18.527506,17.630598999999968,18.549542000000002,19.879228000007743
SC205-2R-50.MPS,555.25666,411.048657,545.3301620000001,564.1574219999939
AIRCRAFT.MPS,9822.919874999998,9614.285468,9787.671249,13359.126149000005
SCAGR7-2B-64.MPS,34884.04561,33133.603955,34424.667038,48292.972741
